nit/cc distribuidor;nombre distribuidor;calidad del servicio;variable tecnica;eficiencia operativa;participacion y compromiso;resultado prestador
fe00350386;f1ca883452;100,00 %;9,31 %;36,92 %;0,00 %;42,89 %
65f769ffe2;c847154545;100,00 %;27,93 %;38,39 %;30,00 %;50,46 %
e15f23dc60;1b922f99b7;100,00 %;77,64 %;35,83 %;60,00 %;64,54 %
dd859c5f15;5ebb55c498;100,00 %;56,35 %;43,59 %;60,00 %;62,17 %
f15d250508;447e810f9d;97,27 %;27,93 %;39,58 %;0,00 %;48,23 %
4d59f51a40;751873a69a;100,00 %;27,93 %;36,77 %;30,00 %;49,78 %
af70f54a39;34d027a20b;100,00 %;27,93 %;41,59 %;0,00 %;49,75 %
99b7e60c2c;a930fb7480;100,00 %;64,28 %;41,12 %;0,00 %;59,14 %
9fb3feed7b;2acffe4ce0;100,00 %;78,17 %;38,78 %;60,00 %;65,92 %
4ffc4b85b2;04141374cc;100,00 %;27,93 %;39,58 %;0,00 %;48,91 %
5dc40deb5c;fdd21395bf;100,00 %;27,93 %;37,38 %;100,00 %;54,81 %
2d22e0bbea;0e8d925062;100,00 %;79,78 %;42,31 %;0,00 %;63,73 %
a4a0cc1d6e;5b53c3b22f;100,00 %;27,93 %;39,71 %;80,00 %;54,43 %
dca998312d;c00400b211;100,00 %;72,07 %;41,87 %;;61,51 %
9896dac527;1d2b66a8b2;100,00 %;27,93 %;36,31 %;30,00 %;49,59 %
7e1a13280e;d08aaaba2d;100,00 %;27,93 %;41,14 %;30,00 %;51,61 %
87769f9196;fc5ddf4acf;100,00 %;27,93 %;41,39 %;0,00 %;49,67 %
489727e58e;05311a63bc;100,00 %;27,93 %;39,58 %;30,00 %;50,96 %
b96ffbee9a;85e77594a4;100,00 %;76,04 %;42,01 %;60,00 %;66,70 %
707037b641;a397cabcf8;100,00 %;0,00 %;40,30 %;;41,85 %
a06c99274a;7a626be138;100,00 %;27,93 %;38,55 %;;48,48 %
21d3a88dd6;9198e331f5;100,00 %;9,31 %;39,70 %;0,00 %;44,06 %
1888e99a4f;94d027de3a;100,00 %;18,62 %;42,92 %;0,00 %;47,86 %
597c8ffffa;edefaa69b7;100,00 %;27,93 %;36,80 %;0,00 %;47,75 %
3c0e4f190b;a4b31c2786;100,00 %;27,93 %;38,30 %;0,00 %;48,38 %
f919ed13d0;c0ef2c6cac;100,00 %;27,93 %;36,59 %;100,00 %;54,49 %
ddad1039d5;74a4d6c4e8;97,27 %;27,93 %;40,49 %;100,00 %;55,43 %
cef8dd4413;83e03e0eab;100,00 %;27,93 %;40,39 %;0,00 %;49,25 %
aeba1ff35c;6b331bc3ad;100,00 %;0,00 %;41,07 %;0,00 %;42,17 %
075bf00e8d;8d2c570dba;100,00 %;27,93 %;39,18 %;30,00 %;50,79 %
1504ecf803;65f3ca03c5;100,00 %;27,93 %;38,49 %;0,00 %;48,46 %
fe9356f1fc;a1ebaed69c;97,27 %;52,25 %;38,34 %;60,00 %;58,22 %
6688fac148;0d407c3aa5;100,00 %;46,55 %;42,39 %;30,00 %;57,05 %
c974446a6e;c2c6d85bb5;100,00 %;27,93 %;35,82 %;0,00 %;47,34 %
62c1905f18;1aeca5985f;100,00 %;27,93 %;42,21 %;0,00 %;50,01 %
7a51652f2e;6fb74774c3;100,00 %;27,93 %;35,23 %;60,00 %;51,19 %
6a51942615;1f2603d766;100,00 %;78,44 %;35,67 %;0,00 %;60,59 %
412c511837;d12f1285ce;100,00 %;27,93 %;39,18 %;60,00 %;52,84 %
af49ac2000;f9e955e636;100,00 %;18,62 %;37,72 %;0,00 %;45,68 %
338d979269;5c91929c1b;100,00 %;9,31 %;38,83 %;60,00 %;47,78 %
c708b9256d;86f7ffc56c;100,00 %;27,93 %;39,67 %;0,00 %;48,95 %
19ee2b03c9;34d1c42926;100,00 %;27,93 %;37,52 %;0,00 %;48,05 %
dbcd05a4ca;1b119ea9c3;100,00 %;18,62 %;41,39 %;0,00 %;47,22 %
0e8f95a524;a4a079fad9;100,00 %;79,62 %;37,81 %;80,00 %;67,26 %
5ea38989ff;cdc26119ae;100,00 %;61,60 %;40,89 %;60,00 %;62,43 %
d0a537e003;ef74041b82;100,00 %;27,93 %;40,47 %;80,00 %;54,74 %
16d09f4692;58a61c75c8;100,00 %;81,38 %;40,66 %;30,00 %;65,50 %
7b4304e26a;76518fde43;100,00 %;0,00 %;39,58 %;0,00 %;41,55 %
8fe5763aa5;98d97f05c2;75,82 %;27,93 %;39,58 %;100,00 %;49,69 %
6b7c3d157d;fac12e2df3;100,00 %;68,55 %;41,67 %;0,00 %;60,50 %
77835400c5;163e82f309;100,00 %;27,93 %;39,87 %;0,00 %;49,03 %
4c1827765a;505383f60c;100,00 %;18,62 %;39,90 %;0,00 %;46,59 %
f800bd39b5;5a1d9723f5;100,00 %;27,93 %;37,20 %;60,00 %;52,01 %
7c5ae972d3;026bb0bd05;100,00 %;27,93 %;41,42 %;0,00 %;49,68 %
bdd63ab9ed;2b67e23867;100,00 %;80,31 %;39,55 %;100,00 %;69,53 %
13978c6ac9;04cffe4fa8;100,00 %;76,30 %;42,00 %;60,00 %;66,77 %
b719394515;460c3ad12a;100,00 %;27,93 %;40,46 %;0,00 %;49,28 %
3407279aff;26d25d40d5;100,00 %;27,93 %;41,56 %;0,00 %;49,74 %
aab4a400ad;bb39a31f49;100,00 %;18,62 %;39,33 %;30,00 %;48,40 %
38a687d09a;bce177e808;100,00 %;27,93 %;38,06 %;60,00 %;52,37 %
b5d9edf59c;8b83bafe7c;100,00 %;27,93 %;37,86 %;60,00 %;52,29 %
e1132f70b9;8c9b734e26;100,00 %;27,93 %;40,89 %;60,00 %;53,55 %
1e87325ea6;0f749035c8;100,00 %;27,93 %;44,68 %;30,00 %;53,09 %
a06665d31f;ae3db8e89d;100,00 %;18,62 %;39,94 %;80,00 %;52,07 %
96f9f16815;5231b3f9a2;100,00 %;67,56 %;42,24 %;0,00 %;60,47 %
d867632db6;25d205e51b;100,00 %;71,67 %;41,89 %;100,00 %;68,23 %
92da6d51f2;5fc0fbf9eb;100,00 %;18,62 %;37,14 %;0,00 %;45,44 %
84002c9cdd;5da895317c;100,00 %;18,62 %;38,74 %;30,00 %;48,16 %
eaa0af8377;686f4a19cf;100,00 %;18,62 %;39,75 %;30,00 %;48,58 %
4d6af09bf0;f87a213357;100,00 %;27,93 %;40,14 %;30,00 %;51,19 %
e87224f645;3675c69002;100,00 %;73,01 %;36,58 %;30,00 %;61,59 %
8499645492;3e5836c383;100,00 %;42,45 %;44,69 %;0,00 %;54,88 %
d7037b9626;378b093d4d;100,00 %;79,60 %;42,22 %;0,00 %;63,64 %
354e286500;bb03dc4f8a;100,00 %;18,62 %;43,20 %;0,00 %;47,97 %
3ebefd1c53;8abd433022;100,00 %;27,93 %;42,73 %;0,00 %;50,23 %
353ac32d43;f1d794d481;100,00 %;25,35 %;36,31 %;0,00 %;46,87 %
2870898342;e062d6bf51;100,00 %;27,93 %;40,80 %;30,00 %;51,47 %
33ccf81f21;618009749e;100,00 %;27,93 %;40,26 %;0,00 %;49,20 %
98c41f56e0;c1cdba3ccb;100,00 %;27,93 %;44,58 %;0,00 %;51,01 %
e2a3c02b3f;0eb487009f;100,00 %;27,93 %;41,01 %;90,00 %;55,65 %
e803c423b6;f7ffac6801;100,00 %;27,93 %;40,50 %;0,00 %;49,30 %
3f0306b131;17249f393d;100,00 %;27,93 %;37,27 %;0,00 %;47,95 %
5546baf161;da14003172;100,00 %;71,00 %;40,74 %;;60,75 %
c38b42e7d1;7aa9083e5f;100,00 %;0,00 %;39,85 %;0,00 %;41,66 %
12bbbbf4e1;283375cb45;100,00 %;27,93 %;39,85 %;0,00 %;49,03 %
95609fbe87;747017adb8;93,82 %;27,93 %;40,53 %;30,00 %;49,81 %
f9f99c93b8;ca77ac02e3;100,00 %;70,69 %;41,55 %;30,00 %;63,06 %
af45d2f7a7;212f9b3324;100,00 %;18,62 %;40,27 %;80,00 %;52,20 %
5699ea87b0;414b8a30cf;100,00 %;29,00 %;42,74 %;80,00 %;55,97 %
6ddbf3e311;6c07e67e71;100,00 %;77,77 %;37,99 %;60,00 %;65,48 %
78c084a3aa;9cfca2ef73;100,00 %;58,17 %;40,48 %;0,00 %;57,26 %
13a4c0a38c;fbe6f20b78;100,00 %;37,24 %;39,94 %;0,00 %;51,52 %
612306a8fe;2361db3f78;100,00 %;18,62 %;39,58 %;30,00 %;48,50 %
a8f4ff460a;4c34284b98;100,00 %;27,93 %;39,38 %;0,00 %;48,83 %
886a59f0df;f5ef44493b;100,00 %;27,93 %;40,53 %;100,00 %;56,13 %
86cec4d7eb;a6f79f5bb3;100,00 %;79,72 %;41,67 %;0,00 %;63,44 %
0175cb1bc5;689f049e87;100,00 %;68,45 %;39,86 %;0,00 %;59,71 %
d21ce68ee2;5d5ccc4989;100,00 %;41,83 %;45,01 %;0,00 %;54,85 %
3e7334bf7d;8193676819;100,00 %;27,93 %;40,74 %;0,00 %;49,40 %
a51a93bcb4;a500bddc6a;100,00 %;0,00 %;45,01 %;0,00 %;43,82 %
97d0149472;49b64a018e;100,00 %;77,24 %;37,84 %;60,00 %;65,28 %
5fd16b3913;4abab433de;100,00 %;78,71 %;40,67 %;0,00 %;62,76 %
1b27de83e4;e5d62d356d;97,27 %;52,12 %;37,07 %;30,00 %;55,60 %
e05d313bc4;66af13fdf0;100,00 %;78,71 %;39,69 %;80,00 %;67,80 %
b45f4fd19f;4e6f3145e0;100,00 %;46,55 %;39,99 %;60,00 %;58,09 %
9d1163fe6f;96c9a2bbb1;89,09 %;62,95 %;42,11 %;100,00 %;63,30 %
3e72dc83e2;aab7ac3175;100,00 %;69,40 %;39,95 %;30,00 %;62,04 %
14a3fa2182;29ff7f32f0;100,00 %;79,24 %;42,39 %;30,00 %;65,66 %
baf359a285;a6c2425c26;100,00 %;9,31 %;44,10 %;0,00 %;45,90 %
c27e53f99e;555f589914;100,00 %;80,31 %;35,69 %;60,00 %;65,19 %
0320600761;5f6feb0c82;100,00 %;27,93 %;38,17 %;30,00 %;50,37 %
8dd12f254a;2a4ef12d3f;100,00 %;27,93 %;40,35 %;60,00 %;53,33 %
eb656747b7;fab59ccfd8;100,00 %;37,24 %;38,22 %;60,00 %;54,89 %
64e57b148a;16907524e7;100,00 %;27,93 %;41,29 %;30,00 %;51,68 %
32279ad855;f91765e285;100,00 %;27,93 %;36,77 %;0,00 %;47,74 %
2b313f58ef;3d5a0d319b;100,00 %;18,62 %;42,05 %;0,00 %;47,49 %
9253461e80;be8b929ba7;96,55 %;27,93 %;39,71 %;90,00 %;54,24 %
b8e0b985e6;b94dda9dca;100,00 %;18,62 %;38,36 %;30,00 %;48,00 %
4ba0c52bf5;b3cc7698e7;100,00 %;18,62 %;41,78 %;0,00 %;47,38 %
ff2f2dd35b;9cf289902d;100,00 %;65,34 %;40,93 %;80,00 %;64,80 %
