nit/cc distribuidor;nombre distribuidor;calidad del servicio;variable tecnica;eficiencia operativa;participacion y compromiso;resultado prestador
033ff34838;b7fdb32e45;100,00 %;0,00 %;35,61 %;60,00 %;43,98 %
68dfa1db7e;d3eb72643a;96,55 %;80,85 %;40,39 %;60,00 %;66,43 %
abf3115996;615de2545f;100,00 %;37,24 %;40,12 %;0,00 %;51,59 %
da0d44a8cd;b1a6e1c995;100,00 %;27,93 %;35,95 %;0,00 %;47,40 %
f5809ec897;8148ed18f6;100,00 %;37,24 %;41,13 %;30,00 %;54,06 %
9413a46493;853aafcfa9;100,00 %;73,90 %;41,49 %;100,00 %;68,65 %
48329fb105;cde2389b06;100,00 %;18,62 %;38,54 %;0,00 %;46,02 %
fce1f11bd0;e80161bf53;100,00 %;78,17 %;42,06 %;100,00 %;70,02 %
c0b7c8ff5d;1afcb48651;97,27 %;81,38 %;40,09 %;60,00 %;66,63 %
2255ef7775;430da049be;100,00 %;18,62 %;34,67 %;0,00 %;44,41 %
972889b47e;f0bbef265d;96,55 %;81,38 %;43,34 %;0,00 %;63,71 %
3d80b7b422;501ebbebf9;100,00 %;27,93 %;40,41 %;0,00 %;49,26 %
030dd79745;5e46bbdde1;100,00 %;18,62 %;38,82 %;0,00 %;46,14 %
2b03843cf1;d060eb5b1b;100,00 %;18,62 %;42,84 %;60,00 %;51,91 %
9ffbcc939a;3236eeccfe;100,00 %;9,31 %;42,71 %;80,00 %;50,77 %
eb3b4150b6;da0429ad91;89,09 %;77,30 %;39,96 %;100,00 %;66,18 %
90d59d48e5;1e092634d2;97,27 %;72,68 %;41,00 %;100,00 %;67,44 %
2d033cceaa;f5a0dd8163;94,55 %;81,38 %;39,38 %;100,00 %;68,38 %
9e2dc0abe4;3b6cd8c077;94,55 %;80,85 %;38,08 %;100,00 %;67,69 %
03b3b06c8e;2aa2c6ba1f;100,00 %;69,87 %;40,62 %;100,00 %;67,22 %
c56ccc1c9e;8b9a1185e2;100,00 %;27,93 %;37,40 %;100,00 %;54,82 %
790b83e47d;44f1a07175;100,00 %;69,72 %;41,19 %;;60,60 %
13997900b0;0546a62acd;100,00 %;27,93 %;39,85 %;0,00 %;49,03 %
87f00b620d;0463704027;100,00 %;0,00 %;37,30 %;0,00 %;40,60 %
6aece07933;bf8c78f642;100,00 %;80,85 %;43,01 %;90,00 %;70,44 %
8935dbd0e9;3ef36a1573;100,00 %;27,93 %;43,38 %;30,00 %;52,55 %
3ce73f56ff;32a00712e0;100,00 %;27,93 %;39,56 %;80,00 %;54,36 %
7115bb7229;1ab4cd707f;100,00 %;18,62 %;40,25 %;0,00 %;46,74 %
1e449bb9f6;422ac8c11d;100,00 %;37,24 %;41,67 %;30,00 %;54,29 %
1f7cbb14d2;5d6169cd2a;100,00 %;43,97 %;40,24 %;60,00 %;57,51 %
a2e0c150dd;fa8e929688;82,36 %;80,85 %;39,91 %;100,00 %;65,41 %
3e5762e8dc;a3f3deb734;100,00 %;27,93 %;39,30 %;100,00 %;55,62 %
ea2f1ebe4c;962366330a;100,00 %;0,00 %;38,39 %;60,00 %;45,15 %
626d2721d5;1b545f4b07;100,00 %;27,93 %;45,01 %;0,00 %;51,19 %
54f8a2c8ee;f0c213d229;100,00 %;0,00 %;37,76 %;0,00 %;40,79 %
65689d0bb1;e0366ee3ab;100,00 %;0,00 %;40,62 %;0,00 %;41,99 %
6fa1722b76;09bcfc4052;100,00 %;27,93 %;39,41 %;60,00 %;52,94 %
04b9269bd3;acd8929c1d;94,55 %;80,49 %;42,03 %;0,00 %;62,43 %
703323181f;bb4d662994;100,00 %;27,93 %;40,48 %;60,00 %;53,38 %
31732903c7;566fb9759a;89,09 %;78,03 %;41,13 %;100,00 %;66,86 %
73ab9ee746;0a26f6c589;97,27 %;58,34 %;41,94 %;100,00 %;64,06 %
11f2e07740;06bfce52fe;100,00 %;18,62 %;37,58 %;0,00 %;45,63 %
70d26d56f5;0e293c199d;100,00 %;27,93 %;36,61 %;60,00 %;51,76 %
7320f44373;9ae189e319;97,27 %;18,62 %;40,11 %;80,00 %;51,46 %
f195617183;16d215249c;100,00 %;27,93 %;41,39 %;30,00 %;51,72 %
412b06c7f2;19f9284174;100,00 %;27,93 %;37,22 %;0,00 %;47,93 %
3768dfecf0;1ad25959d2;100,00 %;18,62 %;37,25 %;0,00 %;45,48 %
b587697d7d;5a249f1935;100,00 %;18,62 %;41,01 %;30,00 %;49,10 %
f23f6dd9f8;d7ddc5bd55;100,00 %;18,62 %;44,00 %;60,00 %;52,40 %
c0467c1a2a;ba79457ec5;100,00 %;27,93 %;41,24 %;90,00 %;55,75 %
c2b9cf98ba;d7f2623f53;100,00 %;27,93 %;40,30 %;80,00 %;54,67 %
10c0d2495d;4085252671;100,00 %;27,93 %;36,19 %;80,00 %;52,95 %
c2e094c4a8;118a614ce1;100,00 %;77,46 %;40,56 %;0,00 %;62,38 %
cb5a98afe7;358a6f559f;100,00 %;27,93 %;40,92 %;0,00 %;49,48 %
911bce8c1f;3394b056c5;80,91 %;60,55 %;42,54 %;60,00 %;58,07 %
5a22a340ed;37062ff593;100,00 %;78,35 %;40,79 %;60,00 %;66,80 %
81c51d2a4f;8ed6015289;100,00 %;27,93 %;40,59 %;;49,34 %
002791f4e3;8661d392c0;100,00 %;18,62 %;40,38 %;80,00 %;52,25 %
1691fe6a4d;00cfe553de;100,00 %;27,93 %;42,22 %;60,00 %;54,11 %
fd543d5bf8;e487046dcf;100,00 %;79,24 %;42,24 %;60,00 %;67,64 %
1edd4fc7b9;3951540d70;100,00 %;80,58 %;41,00 %;30,00 %;65,43 %
b3feb93880;b13b59c285;97,27 %;63,07 %;41,67 %;100,00 %;65,19 %
5e1d17596b;ecbe2a9e0f;100,00 %;18,62 %;37,37 %;30,00 %;47,58 %
c2177b7cdd;3a05a023dd;100,00 %;27,93 %;42,22 %;0,00 %;50,02 %
2d3cd2e60d;f1d51e914c;100,00 %;18,62 %;37,66 %;0,00 %;45,66 %
1945cabd1a;2e9a193a1b;100,00 %;61,16 %;38,31 %;0,00 %;57,14 %
8fb9b23cea;935ff634dc;96,18 %;27,93 %;43,34 %;30,00 %;51,58 %
7de181f880;adb5d53ae4;94,55 %;72,12 %;41,59 %;80,00 %;65,50 %
ccf60d5058;1c8b928fe4;100,00 %;27,93 %;37,51 %;0,00 %;48,05 %
d0ca030c74;1003ba7406;85,27 %;65,46 %;39,73 %;100,00 %;62,01 %
2030ae4518;41bc5a26fe;97,27 %;80,60 %;40,09 %;;62,33 %
09cde79abd;e91068e7cc;100,00 %;9,31 %;45,01 %;0,00 %;46,28 %
8619e3e394;2949830797;100,00 %;37,24 %;41,39 %;60,00 %;56,22 %
111348d4a4;2f6060f0f3;93,82 %;73,10 %;39,71 %;90,00 %;65,47 %
f8cfc78d14;408ba858bf;100,00 %;58,93 %;40,82 %;90,00 %;63,74 %
5a91cb1a97;d12df1ac9a;100,00 %;22,36 %;41,67 %;0,00 %;48,32 %
da01c36ffe;f630ff05a5;100,00 %;27,93 %;39,46 %;0,00 %;48,86 %
e952c3ee8e;f59ea2fea1;100,00 %;27,93 %;43,59 %;;50,59 %
fc0f9d770b;02a0a1fc27;100,00 %;37,24 %;39,07 %;0,00 %;51,15 %
4988487c41;5edb272094;100,00 %;27,93 %;42,17 %;90,00 %;56,14 %
9d322452cf;f10f878420;100,00 %;71,54 %;44,33 %;0,00 %;62,39 %
105e3a787b;a0d8b502ab;100,00 %;27,93 %;38,78 %;0,00 %;48,58 %
639bae352c;08d7df40b4;89,09 %;77,83 %;41,87 %;100,00 %;67,12 %
f2594a4d73;e695e85e55;97,27 %;27,93 %;38,09 %;0,00 %;47,61 %
ed1e0be20b;ccfe494ef9;77,46 %;78,20 %;37,80 %;90,00 %;61,92 %
9ffe5bec22;9e8702c7af;100,00 %;27,93 %;41,67 %;0,00 %;49,79 %
6a2d129a8c;fb1129cee3;100,00 %;71,97 %;39,05 %;60,00 %;64,40 %
ab58527cbe;377e49b584;100,00 %;18,62 %;38,28 %;0,00 %;45,92 %
9cdfbc893d;eb21f98599;100,00 %;71,05 %;41,87 %;;61,24 %
bb6febaeea;df6d7add4b;90,73 %;78,86 %;41,09 %;100,00 %;67,48 %
9cdf04d41c;812e89a85c;100,00 %;60,62 %;44,39 %;30,00 %;61,59 %
cca22aa64e;b2df918a0e;100,00 %;37,24 %;37,10 %;0,00 %;50,33 %
5bc349575e;c2b38b3279;100,00 %;79,17 %;40,48 %;100,00 %;69,62 %
f59d2b4eb8;669305ae05;80,91 %;61,74 %;40,97 %;100,00 %;60,46 %
1e37d483fe;4dc80b33c9;100,00 %;77,50 %;41,58 %;60,00 %;66,91 %
2ab3cb83fd;033750c206;100,00 %;27,93 %;38,51 %;60,00 %;52,56 %
4c6bcee2d6;731161559a;100,00 %;81,38 %;38,58 %;80,00 %;68,04 %
7011951c51;b3712c2c6e;100,00 %;65,70 %;39,47 %;0,00 %;58,83 %
2fd01f1bd6;e4ac1774bc;100,00 %;27,93 %;42,18 %;30,00 %;52,05 %
9bcda7bee9;26bf272ffd;100,00 %;18,62 %;37,59 %;80,00 %;51,09 %
e155363359;6da3e13115;100,00 %;27,93 %;36,56 %;60,00 %;51,74 %
ee5f70873f;b8b95d088e;96,55 %;77,64 %;42,15 %;80,00 %;67,68 %
cdbbec6115;bcb4d7753e;100,00 %;27,93 %;39,26 %;30,00 %;50,82 %
4182c6145e;80e238ea48;85,64 %;27,93 %;40,15 %;30,00 %;47,61 %
3be5238ff7;1b27b9b2c5;97,27 %;53,28 %;40,71 %;100,00 %;62,21 %
15c029bd1e;ea57d15c68;100,00 %;75,89 %;41,95 %;60,00 %;66,64 %
30fd07fab9;e466ff9f29;100,00 %;27,93 %;38,70 %;30,00 %;50,59 %
99991d004c;338047b0a6;100,00 %;18,62 %;41,21 %;60,00 %;51,23 %
28cb8a72ac;8618016d7e;97,27 %;80,85 %;41,10 %;60,00 %;66,91 %
3eb5cd6447;7a7a871ff1;100,00 %;9,31 %;45,01 %;;46,28 %
812ba2afc4;4ec4ac85fa;100,00 %;27,93 %;39,58 %;;48,91 %
6d45d157a4;9a40816210;100,00 %;27,93 %;39,94 %;100,00 %;55,88 %
f314ad8058;6ad4853ac4;100,00 %;60,20 %;40,65 %;60,00 %;61,96 %
2d4201989e;2c10a4c0b6;100,00 %;27,93 %;43,46 %;0,00 %;50,54 %
ce66d8a100;5d11f2216d;97,27 %;72,29 %;42,54 %;100,00 %;67,99 %
f34d481284;8cc0a448f7;100,00 %;37,24 %;38,49 %;0,00 %;50,91 %
c6c57ab754;565dd4eef6;93,46 %;72,18 %;41,69 %;100,00 %;66,64 %
2ef92db27a;8f373fa573;100,00 %;76,30 %;40,01 %;60,00 %;65,94 %
1fab8dc7af;a84981fb45;100,00 %;27,93 %;40,01 %;60,00 %;53,19 %
e1a4c01263;f45497c0fa;97,27 %;60,31 %;40,06 %;90,00 %;63,11 %
2dd3d3238f;e24d696d5e;100,00 %;27,93 %;39,26 %;0,00 %;48,78 %
7daed874a7;8d7db65b99;100,00 %;27,93 %;40,34 %;80,00 %;54,69 %
6b48da12aa;de4029daf7;100,00 %;77,52 %;42,73 %;30,00 %;65,35 %
4e30d9452e;f13ca6e345;100,00 %;27,93 %;42,59 %;60,00 %;54,27 %
c83f66e09f;4afee6afa4;100,00 %;0,00 %;45,01 %;0,00 %;43,82 %
0c85dd43e5;c4a1cb2e93;97,27 %;78,71 %;41,31 %;90,00 %;68,48 %
9ade041642;641c3251e5;100,00 %;27,93 %;37,70 %;0,00 %;48,13 %
f8adbcfa2f;9120b1fad9;100,00 %;37,24 %;37,57 %;30,00 %;52,58 %
bb2afb5f8a;4f256bf476;100,00 %;66,41 %;40,61 %;60,00 %;63,58 %
1146b6ec5a;5439a94dae;100,00 %;0,00 %;36,16 %;0,00 %;40,12 %
39fa2b6910;4146fcb20f;100,00 %;27,93 %;41,03 %;0,00 %;49,52 %
82b5ad77e8;ace3b85f6a;96,18 %;71,03 %;39,56 %;80,00 %;64,77 %
be79a9fdf9;5c4d6ac6e6;100,00 %;70,47 %;40,91 %;30,00 %;62,73 %
a277cfe867;975c937655;100,00 %;27,93 %;41,39 %;0,00 %;49,67 %
bc22bcd7f1;e1d4c14221;94,55 %;74,71 %;42,57 %;90,00 %;67,27 %
7e8f518947;d40daae236;100,00 %;18,62 %;42,19 %;30,00 %;49,60 %
bb93ef1420;f02f98d76d;94,55 %;80,49 %;41,75 %;90,00 %;68,45 %
597e24ccb5;143388e470;100,00 %;37,24 %;45,01 %;0,00 %;53,64 %
a7627e4592;2b18f3567b;100,00 %;18,62 %;43,20 %;0,00 %;47,97 %
40f84bd44c;7934ab0a77;100,00 %;9,31 %;40,49 %;0,00 %;44,39 %
c0d05692df;ec0c5b88fd;100,00 %;27,93 %;41,72 %;60,00 %;53,90 %
6e42153907;465b03dbed;100,00 %;81,38 %;39,43 %;100,00 %;69,76 %
7ad823daae;5e891f4b64;100,00 %;71,00 %;44,15 %;0,00 %;62,18 %
32629396e8;f4f2139cd5;100,00 %;27,93 %;39,94 %;0,00 %;49,06 %
fec8d6d572;e0e7925f28;100,00 %;64,01 %;40,18 %;80,00 %;64,13 %
f6109514b6;0777d638a0;97,27 %;72,92 %;39,94 %;;60,24 %
81a60ed4ea;2788e767ca;100,00 %;27,93 %;35,77 %;60,00 %;51,41 %
62ea5a586c;82d4050fc1;100,00 %;18,62 %;36,71 %;60,00 %;49,35 %
eedaeb666f;14c4065f82;100,00 %;57,41 %;40,32 %;100,00 %;63,82 %
a3e7d00bf2;4cb1e530bd;100,00 %;9,31 %;39,58 %;0,00 %;44,00 %
635772e635;8779c0f159;97,27 %;77,04 %;42,09 %;;62,23 %
4c0309dfc7;ea8b71a4b4;100,00 %;27,93 %;40,43 %;30,00 %;51,32 %
09670e1107;3947d55dd9;100,00 %;18,62 %;36,36 %;0,00 %;45,12 %
7b62733157;c422cb01ec;100,00 %;79,78 %;37,39 %;0,00 %;61,67 %
4d4c24696a;82b7a77484;100,00 %;18,62 %;36,59 %;0,00 %;45,21 %
0553bfad03;a3f5e947ee;100,00 %;27,93 %;38,92 %;30,00 %;50,69 %
47ac9051ac;7563bd0332;100,00 %;37,24 %;45,01 %;0,00 %;53,64 %
e957cfabc1;4319b2939a;97,27 %;27,93 %;40,57 %;30,00 %;50,69 %
56740171e5;62f7d39dd2;100,00 %;80,31 %;40,05 %;0,00 %;62,92 %
1f5175bb2d;cc12c37fdc;100,00 %;18,62 %;40,66 %;30,00 %;48,96 %
1c4ba42213;800ef77799;100,00 %;18,62 %;36,92 %;30,00 %;47,39 %
9845862b8d;3354850728;96,18 %;27,93 %;44,47 %;60,00 %;54,10 %
ccf632e058;c2e1406d1b;100,00 %;75,50 %;41,73 %;80,00 %;67,81 %
e7276191a5;1c0743ab6a;80,91 %;76,00 %;41,94 %;100,00 %;64,62 %
e7276191a5;d55e9f0f87;80,91 %;76,00 %;41,94 %;100,00 %;64,62 %
a390a103e0;4be9747b90;94,55 %;71,14 %;41,17 %;100,00 %;66,42 %
de65d3f6f3;822b8a4bfc;100,00 %;9,31 %;45,01 %;0,00 %;46,28 %
eb7675ade7;e73a0897f5;94,55 %;69,70 %;40,05 %;100,00 %;65,58 %
abd40b85f2;66da9538a6;100,00 %;27,93 %;39,48 %;100,00 %;55,69 %
8add6fdece;1334a16440;100,00 %;27,93 %;41,04 %;60,00 %;53,62 %
3dc067ee24;62bd6caf10;100,00 %;79,51 %;43,34 %;;64,08 %
9068265977;2323864dfc;100,00 %;27,93 %;39,69 %;0,00 %;48,96 %
ebf4e69eec;4c9fa27e90;100,00 %;69,09 %;40,69 %;30,00 %;62,27 %
5f815e48ed;9f9e4d8a09;100,00 %;81,20 %;39,54 %;90,00 %;69,08 %
d6c3ffebcf;b6f144d829;84,73 %;80,85 %;39,60 %;30,00 %;61,10 %
638bc18648;f42db3e130;100,00 %;27,93 %;39,00 %;30,00 %;50,72 %
f5050df9b2;8a4cf60a4e;97,27 %;68,25 %;40,24 %;;59,14 %
4cae76936b;09e83dd7a7;89,09 %;81,38 %;40,27 %;;60,57 %
20d2c191f4;095911ca7d;94,55 %;79,78 %;39,56 %;30,00 %;63,26 %
32d1a3731c;60eaef7e5e;100,00 %;0,00 %;36,31 %;0,00 %;40,19 %
3dfb1b906f;cf7ba7fa24;100,00 %;27,93 %;41,32 %;60,00 %;53,73 %
3ad670f0a6;5a3ed0d540;100,00 %;27,93 %;38,08 %;60,00 %;52,38 %
9b6aca2da2;af6676ce09;96,55 %;0,00 %;40,70 %;0,00 %;41,16 %
9ee1232924;1cde8e677a;89,09 %;64,81 %;40,86 %;60,00 %;60,54 %
4dc4b2f6ba;868bf92fd9;100,00 %;42,90 %;40,19 %;0,00 %;53,12 %
9614c0d27c;fd47f27bdd;100,00 %;9,31 %;38,54 %;0,00 %;43,57 %
98167a8414;9fbb3eb6f8;100,00 %;27,93 %;39,58 %;0,00 %;48,91 %
5dafe56604;930bc3317c;96,18 %;71,98 %;40,56 %;100,00 %;66,80 %
a62e125e18;fc81117d1d;100,00 %;18,62 %;42,14 %;0,00 %;47,53 %
f884c1eb24;54de66f1cf;96,55 %;18,62 %;42,08 %;;46,64 %
2dd33539ad;a405ab4085;94,55 %;74,36 %;41,00 %;100,00 %;67,21 %
11f859259a;7d38998939;100,00 %;74,58 %;39,58 %;60,00 %;65,30 %
d0669d8354;c25d087c81;97,27 %;27,93 %;38,98 %;0,00 %;47,98 %
eaea9ca8c2;89211c3494;100,00 %;27,93 %;39,58 %;0,00 %;48,91 %
533d84543c;93c10beedc;97,27 %;80,82 %;41,29 %;90,00 %;69,03 %
b0badad449;5d87b0c16b;100,00 %;80,31 %;40,13 %;100,00 %;69,77 %
b7bd310af1;5551011cfb;100,00 %;79,49 %;42,42 %;100,00 %;70,52 %
f873ebe449;fb4cc6994a;100,00 %;80,31 %;40,47 %;30,00 %;65,14 %
2108aab5ce;31c071d5b9;100,00 %;79,95 %;42,26 %;;63,75 %
c648e9c881;f41bf53aa0;100,00 %;0,00 %;35,50 %;60,00 %;43,94 %
d65a66b589;eaccd1b5fa;100,00 %;27,93 %;45,01 %;0,00 %;51,19 %
3fddbd584a;3337daaf6f;97,27 %;70,20 %;41,69 %;60,00 %;64,35 %
71813ed62b;06cca91574;100,00 %;46,55 %;41,50 %;0,00 %;54,63 %
3e16400d56;fe26a22cd7;100,00 %;18,62 %;38,67 %;60,00 %;50,17 %
44f83ec371;3b59b9e64e;91,09 %;64,80 %;40,19 %;60,00 %;60,75 %
59d8d61591;bda0db11d5;100,00 %;27,93 %;39,35 %;60,00 %;52,91 %
fd4c6e8fd9;882f014c15;100,00 %;18,62 %;41,45 %;90,00 %;53,38 %
ffbdf3d16c;6dd6dbf90b;100,00 %;74,43 %;40,03 %;80,00 %;66,81 %
85cd666c24;6dce203359;93,82 %;27,93 %;38,35 %;80,00 %;52,31 %
ebef1a32fb;e454952170;97,27 %;76,87 %;42,69 %;60,00 %;66,53 %
c884fb189a;ff913f84ab;100,00 %;27,93 %;39,72 %;;48,97 %
484e58e4ef;36e8b3e9ce;100,00 %;18,62 %;40,79 %;60,00 %;51,06 %
cb14f02271;f10ea83bae;100,00 %;18,62 %;42,44 %;80,00 %;53,11 %
6267dab9fd;4f25374294;100,00 %;27,93 %;40,54 %;60,00 %;53,41 %
558c80ca71;bec58a3211;100,00 %;18,62 %;40,45 %;60,00 %;50,92 %
d9bc9be1ea;0b3ebfe902;100,00 %;0,00 %;39,67 %;0,00 %;41,59 %
c01a9d5020;715f69d5e4;89,09 %;69,50 %;41,95 %;100,00 %;64,96 %
a8dd1d5a56;2c8156ebd8;100,00 %;27,93 %;39,05 %;0,00 %;48,69 %
8fc0df0b52;7d901dcb0c;100,00 %;27,93 %;37,40 %;0,00 %;48,00 %
e303a95978;0ab0ee23e4;100,00 %;80,04 %;40,01 %;60,00 %;66,92 %
0cfe179c9b;b762407a6a;100,00 %;27,93 %;40,69 %;0,00 %;49,38 %
05c41b8cff;7141cfa8e1;100,00 %;61,16 %;36,78 %;30,00 %;58,55 %
f0171b2ada;0d257a2bcb;75,82 %;75,14 %;40,29 %;60,00 %;59,70 %
13025a6c92;415b90e8a2;100,00 %;27,93 %;36,82 %;30,00 %;49,81 %
db02eff5f0;3d9878b6e9;90,73 %;75,77 %;41,72 %;80,00 %;65,56 %
00a923927a;2be5ab5db5;100,00 %;72,07 %;37,77 %;80,00 %;65,25 %
6301c18ba0;39264871b6;100,00 %;18,62 %;41,32 %;0,00 %;47,19 %
bef0e7d4e2;e199546c10;80,91 %;74,43 %;40,80 %;100,00 %;63,73 %
57e0eb48c8;569b03d21e;100,00 %;27,93 %;39,58 %;0,00 %;48,91 %
612241b8cb;52e0723ef0;100,00 %;56,58 %;39,19 %;80,00 %;61,76 %
d454f55cec;d1e141786c;100,00 %;9,31 %;38,15 %;0,00 %;43,41 %
160679e07e;77ec7eab0b;100,00 %;0,00 %;42,29 %;0,00 %;42,69 %
0360bf7b22;527845a30a;100,00 %;27,93 %;41,00 %;60,00 %;53,60 %
8bd18875df;880bbb904b;100,00 %;49,62 %;40,89 %;90,00 %;61,32 %
fcaeaeefb3;b0aecc12e6;100,00 %;62,76 %;39,86 %;100,00 %;65,03 %
9950bb6e99;8b69deb93f;100,00 %;18,62 %;40,25 %;0,00 %;46,74 %
4757098dde;5d6d33283d;100,00 %;0,00 %;39,58 %;30,00 %;43,60 %
f24fe3376b;9f3c1d9100;100,00 %;0,00 %;35,98 %;60,00 %;44,14 %
583e08aac0;d93781d430;100,00 %;0,00 %;37,76 %;0,00 %;40,79 %
13478c1aee;8ff1312a07;100,00 %;18,62 %;41,42 %;30,00 %;49,28 %
9574ee5fda;d234984cc6;100,00 %;18,62 %;40,57 %;80,00 %;52,33 %
b839ae5157;910f5b6359;100,00 %;0,00 %;42,59 %;60,00 %;46,90 %
d64b060995;970782d224;100,00 %;18,62 %;41,06 %;30,00 %;49,12 %
31f71c3f4f;2fbc1bd473;100,00 %;27,93 %;41,82 %;80,00 %;55,31 %
6b31a681fb;cae36dee52;100,00 %;0,00 %;41,67 %;0,00 %;42,42 %
0f0a7d2849;a4255e8261;100,00 %;0,00 %;36,31 %;0,00 %;40,19 %
9a3ca06aac;ca723880e4;100,00 %;71,00 %;42,96 %;60,00 %;65,77 %
f0123a2f47;4ba513b48f;100,00 %;18,62 %;38,39 %;0,00 %;45,96 %
277d4f11f8;35ee1a42f9;100,00 %;18,62 %;37,40 %;0,00 %;45,55 %
4d43128369;2bfb529073;100,00 %;18,62 %;38,57 %;0,00 %;46,04 %
57da0d1458;aece40b7c4;100,00 %;27,93 %;43,57 %;;50,58 %
168ab2c338;61840522db;100,00 %;0,00 %;40,66 %;0,00 %;42,00 %
8baf47f12f;7bf1b04c36;93,82 %;61,51 %;41,32 %;80,00 %;62,40 %
fc8cbcb031;221b819aa9;100,00 %;27,93 %;36,70 %;0,00 %;47,71 %
0d5a738fba;9d78c53ec5;100,00 %;27,93 %;41,02 %;0,00 %;49,52 %
ccf0616c52;75f65d5efd;97,27 %;80,52 %;40,54 %;;62,50 %
5104924f05;f636e2bb30;97,27 %;80,47 %;40,99 %;80,00 %;68,13 %
4984333df1;51e53baf46;100,00 %;0,00 %;40,74 %;30,00 %;44,08 %
4974c1a8e8;6d0a1c5be3;100,00 %;27,93 %;38,80 %;0,00 %;48,59 %
5286a108cb;2cc905a07f;100,00 %;54,66 %;40,75 %;30,00 %;58,50 %
032752d086;8eecac9b1e;100,00 %;69,42 %;41,66 %;100,00 %;67,54 %
b3a5afa282;c44e5f67e2;100,00 %;0,00 %;39,58 %;0,00 %;41,55 %
7d156e62bc;5dfa5266d7;96,55 %;77,73 %;40,39 %;0,00 %;61,52 %
526a3be1c6;9c291cb4ed;100,00 %;18,62 %;40,95 %;60,00 %;51,12 %
fb027c296d;dbb1ffb181;100,00 %;18,62 %;37,47 %;30,00 %;47,62 %
e290aaa845;ff154aae7a;100,00 %;9,31 %;42,84 %;0,00 %;45,37 %
ad17c69261;e2b59eea00;100,00 %;79,78 %;42,80 %;60,00 %;68,02 %
16a243e50c;e16fb8605b;100,00 %;18,62 %;38,72 %;0,00 %;46,10 %
5adfc692d1;d3764cdf6e;100,00 %;27,93 %;42,72 %;0,00 %;50,23 %
edabde51c5;4ebb7d326e;100,00 %;18,62 %;42,25 %;60,00 %;51,67 %
852f366b43;540ea4a002;100,00 %;70,37 %;40,03 %;80,00 %;65,75 %
49e07ab81c;fc3f85426e;100,00 %;0,00 %;34,85 %;0,00 %;39,57 %
667210d48a;4030bbbd2f;100,00 %;27,93 %;39,71 %;0,00 %;48,97 %
2a2d4b3199;fbb60ec9ad;100,00 %;78,44 %;39,38 %;0,00 %;62,14 %
9024048d8a;c11c6e459a;97,27 %;27,93 %;41,01 %;30,00 %;50,87 %
46b10ec11a;4cc941996a;100,00 %;27,93 %;40,66 %;80,00 %;54,82 %
c57c056799;ea400a0541;100,00 %;27,93 %;36,86 %;0,00 %;47,78 %
b6eabf4a74;a0f5e36fce;100,00 %;18,62 %;39,29 %;30,00 %;48,38 %
8fa2c5e0e0;087d02c7f5;100,00 %;68,32 %;39,06 %;60,00 %;63,43 %
e894dc1643;f1e6d5090a;100,00 %;18,62 %;40,93 %;0,00 %;47,03 %
c67633e411;ef928ccaa3;100,00 %;71,00 %;39,78 %;80,00 %;65,81 %
0a53c5f1a7;a931e856b4;100,00 %;27,93 %;40,96 %;0,00 %;49,49 %
d4b2f59841;44db7aa48f;100,00 %;81,38 %;40,25 %;80,00 %;68,74 %
7b83c5831a;deef68913f;100,00 %;0,00 %;40,27 %;0,00 %;41,84 %
5a47e5a9f3;75f42ab95a;100,00 %;73,36 %;43,61 %;30,00 %;64,62 %
d008806843;ec37cebcb9;100,00 %;50,74 %;39,96 %;30,00 %;57,13 %
cfe5357898;a2cfecd041;100,00 %;0,00 %;39,58 %;0,00 %;41,55 %
31efb70305;d26f6c5665;100,00 %;27,93 %;40,73 %;0,00 %;49,40 %
f62cac2fe5;a3aedfbe75;100,00 %;75,90 %;40,01 %;100,00 %;68,56 %
7967f1aeb8;643a19c535;100,00 %;0,00 %;36,43 %;30,00 %;42,28 %
232b41f507;41903e049f;100,00 %;65,77 %;41,61 %;0,00 %;59,74 %
f9884d8ffe;f73cc23e2d;100,00 %;9,31 %;40,56 %;60,00 %;48,51 %
d39fd7fed3;656c574f28;100,00 %;18,62 %;39,58 %;0,00 %;46,46 %
cc4c2ebd9d;bff3b8874e;97,27 %;73,74 %;41,65 %;90,00 %;67,31 %
4b4ec186e6;a693b0b43d;100,00 %;71,27 %;41,04 %;100,00 %;67,77 %
3d9df1e8db;26634a65ef;100,00 %;0,00 %;42,16 %;60,00 %;46,72 %
8c2dc094ae;822dbdc6b1;100,00 %;69,66 %;41,88 %;0,00 %;60,88 %
716a8d6e4c;0dd41a723a;94,55 %;59,47 %;40,97 %;100,00 %;63,26 %
4dd24c5777;84e6aeaabe;100,00 %;27,93 %;43,17 %;60,00 %;54,51 %
83989d5b4c;e33ebd4899;100,00 %;27,93 %;41,50 %;30,00 %;51,77 %
3b6f915e84;24336a1edc;100,00 %;9,31 %;41,86 %;60,00 %;49,05 %
83006edd5c;d9804378ae;100,00 %;18,62 %;41,67 %;90,00 %;53,47 %
2b4186e3a2;17a7700f90;100,00 %;79,70 %;41,13 %;60,00 %;67,30 %
aa53ef925f;d8f6b5b8f7;100,00 %;27,93 %;41,60 %;30,00 %;51,81 %
240ae130d6;21e847b4e0;93,46 %;77,80 %;42,04 %;;61,45 %
88ae7bddb3;ce14f7c0e8;100,00 %;27,93 %;40,21 %;0,00 %;49,18 %
